2026-08-01T11:39:44.514538+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T11:39:44.516469+0500 | INFO | app.main:startup_event:78 | Starting Resume Screener in development mode
2026-08-01T11:39:44.516469+0500 | INFO | app.main:startup_event:79 | Database: sqlite:///./data/resume_screener.db
2026-08-01T11:39:44.518484+0500 | INFO | app.main:startup_event:85 | Ollama disabled, using rule-based extraction
2026-08-01T11:42:01.827075+0500 | INFO | app.main:shutdown_event:91 | Shutting down Resume Screener
2026-08-01T11:42:06.719496+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T11:42:06.719496+0500 | INFO | app.main:startup_event:78 | Starting Resume Screener in development mode
2026-08-01T11:42:06.719496+0500 | INFO | app.main:startup_event:79 | Database: sqlite:///./data/resume_screener.db
2026-08-01T11:42:06.719496+0500 | INFO | app.main:startup_event:85 | Ollama disabled, using rule-based extraction
2026-08-01T11:43:08.755752+0500 | INFO | app.main:shutdown_event:91 | Shutting down Resume Screener
2026-08-01T11:43:09.792753+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T11:43:10.160582+0500 | INFO | app.main:startup_event:184 | Starting Resume Screener in development mode
2026-08-01T11:43:10.160582+0500 | INFO | app.main:startup_event:185 | Database: sqlite:///./data/resume_screener.db
2026-08-01T11:43:10.160582+0500 | INFO | app.main:startup_event:191 | Ollama disabled, using rule-based extraction
2026-08-01T11:43:20.478327+0500 | INFO | app.main:shutdown_event:198 | Shutting down Resume Screener
2026-08-01T11:43:25.252854+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T11:43:25.550544+0500 | INFO | app.main:startup_event:184 | Starting Resume Screener in development mode
2026-08-01T11:43:25.550544+0500 | INFO | app.main:startup_event:185 | Database: sqlite:///./data/resume_screener.db
2026-08-01T11:43:25.550544+0500 | INFO | app.main:startup_event:191 | Ollama disabled, using rule-based extraction
2026-08-01T11:46:42.104894+0500 | INFO | app.main:upload_pdf:100 | Processing PDF: updated cv.pdf (39589 bytes)
2026-08-01T11:46:42.104894+0500 | INFO | app.services.pdf_extractor:extract:83 | Extracting text from C:\Users\USMANA~1\AppData\Local\Temp\tmpk67xfr9i.pdf
2026-08-01T11:46:42.523262+0500 | INFO | app.services.pdf_extractor:extract:92 | Successfully extracted with pdfplumber
2026-08-01T11:54:34.178793+0500 | INFO | app.main:shutdown_event:198 | Shutting down Resume Screener
2026-08-01T11:54:35.532431+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T11:54:35.901983+0500 | INFO | app.main:startup_event:184 | Starting Resume Screener in development mode
2026-08-01T11:54:35.901983+0500 | INFO | app.main:startup_event:185 | Database: sqlite:///./data/resume_screener.db
2026-08-01T11:54:35.901983+0500 | INFO | app.main:startup_event:191 | Ollama disabled, using rule-based extraction
2026-08-01T11:54:41.969994+0500 | INFO | app.main:shutdown_event:198 | Shutting down Resume Screener
2026-08-01T11:54:43.030745+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T11:54:43.388345+0500 | INFO | app.main:startup_event:184 | Starting Resume Screener in development mode
2026-08-01T11:54:43.388345+0500 | INFO | app.main:startup_event:185 | Database: sqlite:///./data/resume_screener.db
2026-08-01T11:54:43.389346+0500 | INFO | app.main:startup_event:191 | Ollama disabled, using rule-based extraction
2026-08-01T11:55:18.220196+0500 | INFO | app.main:shutdown_event:198 | Shutting down Resume Screener
2026-08-01T12:00:42.461336+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T12:00:57.285196+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T12:01:01.731422+0500 | INFO | app.services.enhanced_processor:__init__:30 | ✅ Embedding model loaded
2026-08-01T12:01:01.755155+0500 | INFO | app.main:startup_event:313 | Starting Resume Screener in development mode
2026-08-01T12:01:01.755155+0500 | INFO | app.main:startup_event:314 | Database: sqlite:///./data/resume_screener.db
2026-08-01T12:01:01.755155+0500 | INFO | app.main:startup_event:319 | Ollama disabled, using rule-based extraction
2026-08-01T12:01:03.510483+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:01:03.510483+0500 | INFO | app.main:startup_event:324 | ✅ Loaded 9544 resumes
2026-08-01T12:01:03.615264+0500 | INFO | app.main:shutdown_event:332 | Shutting down Resume Screener
2026-08-01T12:01:05.236021+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T12:01:12.409835+0500 | INFO | app.services.enhanced_processor:__init__:30 | ✅ Embedding model loaded
2026-08-01T12:01:12.444942+0500 | INFO | app.main:startup_event:313 | Starting Resume Screener in development mode
2026-08-01T12:01:12.444942+0500 | INFO | app.main:startup_event:314 | Database: sqlite:///./data/resume_screener.db
2026-08-01T12:01:12.444942+0500 | INFO | app.main:startup_event:319 | Ollama disabled, using rule-based extraction
2026-08-01T12:01:14.150213+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:01:14.150213+0500 | INFO | app.main:startup_event:324 | ✅ Loaded 9544 resumes
2026-08-01T12:01:21.077299+0500 | INFO | app.services.enhanced_processor:__init__:30 | ✅ Embedding model loaded
2026-08-01T12:01:21.157705+0500 | INFO | app.main:startup_event:313 | Starting Resume Screener in development mode
2026-08-01T12:01:21.157705+0500 | INFO | app.main:startup_event:314 | Database: sqlite:///./data/resume_screener.db
2026-08-01T12:01:21.157705+0500 | INFO | app.main:startup_event:319 | Ollama disabled, using rule-based extraction
2026-08-01T12:01:23.770178+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:01:23.770178+0500 | INFO | app.main:startup_event:324 | ✅ Loaded 9544 resumes
2026-08-01T12:02:39.026358+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:02:39.026358+0500 | ERROR | app.main:get_dataset_info:185 | Error getting dataset info: 'job_position_name'
2026-08-01T12:02:48.656236+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:02:48.657236+0500 | ERROR | app.main:get_job_positions:289 | Error getting job positions: 'job_position_name'
